ParcelID,Address,Ward,Neigh,AssN,Usage,Description,Front,Side I,LotSF,Add#,Street
50850000400,5310 Geraldine Av,1,71,327,Vacant Lot,,25.0,127.5,3187.0,5310,Geraldine
50850000500,5312 Geraldine Av,1,71,327,Vacant Lot,,25.0,127.5,3250.12,5312,Geraldine
50850000600,5318 Geraldine Av,1,71,327,Vacant Lot,,50.0,127.5,6320.8634155,5318,Geraldine
50850000700,5320 Geraldine Av,1,71,327,Vacant Lot,,25.0,127.5,3139.851557,5320,Geraldine
50850000800,5322 Geraldine Av,1,71,327,Vacant Lot,,25.0,127.5,3187.0,5322,Geraldine
50850000900,5324 Geraldine Av,1,71,327,Vacant Lot,,50.0,127.06,6245.279628,5324,Geraldine
50850001500,5344 Geraldine Av,1,71,327,Vacant Lot,,25.0,127.5,3045.3202855,5344,Geraldine
50850001600,5348 Geraldine Av,1,71,327,Vacant Lot,,25.0,127.5,3187.0,5348,Geraldine
50850001700,5350 Geraldine Av,1,71,327,Vacant Lot,,25.0,127.6,3161.018169,5350,Geraldine
50850001800,5352 Geraldine Av,1,71,327,Vacant Lot,,25.0,127.5,2874.096738,5352,Geraldine
50850002600,5378 Geraldine Av,1,71,327,Vacant Lot,,25.0,127.06,3324.647808,5378,Geraldine
50850005150,5303 Ruskin Av,1,71,327,Vacant Lot,,50.0,127.5,6186.0,5303,Ruskin
50860001100,5036 Geraldine Av,1,71,327,Vacant Lot,,30.0,127.5,3663.0,5036,Geraldine
50860001200,5038 Geraldine Av,1,71,327,Vacant Lot,,30.0,127.5,3613.096998,5038,Geraldine
50860001400,5046 Geraldine Av,1,71,327,Vacant Lot,,40.0,127.5,4789.0,5046,Geraldine
50860001500,5052 Geraldine Av,1,71,327,Vacant Lot,,35.0,127.06,4178.262868,5052,Geraldine
50860001600,5054 Geraldine Av,1,71,327,Vacant Lot,,25.0,127.5,3348.230259,5054,Geraldine
50860001700,5056 Geraldine Av,1,71,327,Vacant Lot,,32.5,127.5,4152.615235,5056,Geraldine
50860001800,5058 Geraldine Av,1,71,327,Vacant Lot,,25.0,127.6,3083.744998,5058,Geraldine
50860001900,5060 Geraldine Av,1,71,327,Vacant Lot,,32.06,127.06,3943.0,5060,Geraldine
50860002000,5062 Geraldine Av,1,71,327,Vacant Lot,,25.0,127.5,3064.0,5062,Geraldine
50860002300,5068 Geraldine Av,1,71,327,Vacant Lot,,25.0,127.5,3188.0,5068,Geraldine
50860002500,5072 Geraldine Av,1,71,327,Vacant Lot,,25.0,127.5,3047.0,5072,Geraldine
50860002600,5076 Geraldine Av,1,71,327,Vacant Lot,,25.0,127.5,3104.0,5076,Geraldine
50860002700,5080 Geraldine Av,1,71,327,Vacant Lot,,28.33,127.5,3372.0,5080,Geraldine
50860002800,5082 Geraldine Av,1,71,327,Vacant Lot,,28.04,127.06,3495.0,5082,Geraldine
50860002900,5084 Geraldine Av,1,71,327,Vacant Lot,,28.33,125.5,3637.0,5084,Geraldine
50860003000,5086 Geraldine Av,1,71,327,Vacant Lot,,24.0,127.5,2791.0,5086,Geraldine
50860003100,5088 Geraldine Av,1,71,327,Vacant Lot,,26.0,127.5,3266.0,5088,Geraldine
50860003900,5089 Ruskin Av,1,71,327,Vacant Lot,,30.0,127.5,3912.0,5089,Ruskin
50860004000,5087 Ruskin Av,1,71,327,Vacant Lot,,35.0,127.5,4275.0,5087,Ruskin
50860005200,5041 Ruskin Av,1,71,327,Vacant Lot,,50.0,127.5,6261.0,5041,Ruskin
50860005300,5039 Ruskin Av,1,71,327,Vacant Lot,,25.0,127.5,3283.21243,5039,Ruskin
50870002200,5060 Union Blvd,1,71,327,Vacant Lot,,35.0,128.0,4301.0674935,5060,Union
50870002600,5070 Union Blvd,1,71,327,Vacant Lot,,25.0,128.0,3035.187232,5070,Union
50870003800,5097 Geraldine Av,1,71,327,Vacant Lot,,22.0,128.0,2763.5515955,5097,Geraldine
50870004100,5091 Geraldine Av,1,71,327,Vacant Lot,,25.0,128.0,2900.0,5091,Geraldine
50870004500,5079 Geraldine Av,1,71,327,Vacant Lot,,25.0,128.0,3128.9596945,5079,Geraldine
50870004800,5071 Geraldine Av,1,71,327,Vacant Lot,,25.0,128.0,3325.0,5071,Geraldine
50870004900,5069 Geraldine Av,1,71,327,Vacant Lot,,25.0,128.0,2818.7293535,5069,Geraldine
50870005900,5041 Geraldine Av,1,71,327,Vacant Lot,,25.0,128.0,2990.0,5041,Geraldine
50870006300,5019-23 Geraldine Av,1,71,327,Vacant Lot,,50.0,128.0,6140.313299,5019,Geraldine
50870006500,5015 Geraldine Av,1,71,327,Vacant Lot,,16.0,128.0,2948.9913765,5015,Geraldine
50870006700,5009 Geraldine Av,1,71,327,Vacant Lot,,25.0,128.0,3661.286544,5009,Geraldine
50870006800,5007 Geraldine Av,1,71,327,Vacant Lot,,50.0,128.0,6747.55,5007,Geraldine
50880000900,5030 1/2 Claxton Av,1,71,327,Vacant Lot,,0.33,125.0,39.0,5030,Claxton
50880004700,5055 Union Blvd,1,71,327,Vacant Lot,,25.0,121.83,3045.0,5055,Union
50880004800,5053 Union Blvd,1,71,327,Vacant Lot,,25.0,120.1,9022.0,5053,Union
50880004900,5051 Union Blvd,1,71,327,Vacant Lot,,50.0,121.1,4200.0,5051,Union
50880005410,5033 Union Blvd,1,71,327,Vacant Lot,,11.5,123.83,1588.3765655,5033,Union
50880005420,5031 Union Blvd,1,71,327,Vacant Lot,,11.5,123.83,1443.364649,5031,Union
50880005600,5029 Union Blvd,1,71,327,Vacant Lot,,45.0,123.0,5629.25691,5029,Union
51400000100,5302 Queens Av,1,71,328,Vacant Lot,,40.0,172.5,6900.0,5302,Queens
57400001800,5054 Ruskin Av,1,71,328,Vacant Lot,,30.0,107.08,3170.199703,5054,Ruskin
57410000150,4542 Durant Av,1,71,328,Vacant Lot,,30.0,112.0,2127.7619015,4542,Durant
57410000200,4544 Durant Av,1,71,328,Vacant Lot,,30.0,107.08,2570.0,4544,Durant
43930001700,4750R Rosalie St,1,71,329,Vacant Lot,,34.58,110.0,3828.0,4750,Rosalie
43930001800,5447R Shreve Av,1,71,329,Vacant Lot,,17.5,140.0,2422.706672,5447,Shreve
43930002800,5446 Vera Av,1,71,329,Vacant Lot,,25.0,132.75,3317.3356595,5446,Vera
43930003000,5452 Vera Av,1,71,329,Vacant Lot,,25.0,132.67,3316.335901,5452,Vera
43930101200,5419 Vera Av,1,71,329,Vacant Lot,,25.0,130.0,3363.0,5419,Vera
43940101400,5466 N Euclid Av,1,71,329,Vacant Lot,,35.0,142.5,4988.0,5466,Euclid
44000000700,5460-2 Shreve Av,1,71,329,Vacant Lot,,41.0,150.99,4875.0,5460,Shreve
52610000900,4945 Harney Av,1,71,329,Vacant Lot,,43.0,112.5,4837.0,4945,Harney
