ParcelID,Address,Ward,Neigh,AssN,Usage,Description,Value *,Front,Side1,LotSF,Add#,Street,laglng,latlng
49960004100,5939 Wabada Av,22,50,347,Vacant Lot,,,25.0,121.8,3433.0,5939,Wabada,"{'lat': 38.677493, 'lng': -90.281605}","{'lat': 38.677493, 'lng': -90.281605}"
49960004200,5943 Wabada Av,22,50,347,Vacant Lot,,,25.04,121.79,3188.0,5943,Wabada,"{'lat': 38.677532, 'lng': -90.28168099999999}","{'lat': 38.677532, 'lng': -90.28168099999999}"
49960004700,5959 Wabada Av,22,50,347,Vacant Lot,,,25.04,118.33,2957.0,5959,Wabada,"{'lat': 38.677795, 'lng': -90.28218199999999}","{'lat': 38.677795, 'lng': -90.28218199999999}"
49960004800,5963 Wabada Av,22,50,347,Vacant Lot,,,25.0,118.08,2920.847454500001,5963,Wabada,"{'lat': 38.677832, 'lng': -90.282253}","{'lat': 38.677832, 'lng': -90.282253}"
49960004900,5965 Wabada Av,22,50,347,Vacant Lot,,,25.0,117.5,3138.0,5965,Wabada,"{'lat': 38.677871, 'lng': -90.28232799999999}","{'lat': 38.677871, 'lng': -90.28232799999999}"
49970000600,5966 Wabada Av,22,50,347,Vacant Lot,,,35.0,113.0,3984.3770965,5966,Wabada,"{'lat': 38.67752, 'lng': -90.28269999999999}","{'lat': 38.67752, 'lng': -90.28269999999999}"
49970000800,5960 Wabada Av,22,50,347,Vacant Lot,,,25.0,113.0,2840.0,5960,Wabada,"{'lat': 38.677419, 'lng': -90.282513}","{'lat': 38.677419, 'lng': -90.282513}"
49970002100,5922 Wabada Av,22,50,347,Vacant Lot,,,25.0,113.5,2616.605839,5922,Wabada,"{'lat': 38.6768379, 'lng': -90.28143299999999}","{'lat': 38.6768379, 'lng': -90.28143299999999}"
49970002200,5920 Wabada Av,22,50,347,Vacant Lot,,,25.0,113.0,2819.059788,5920,Wabada,"{'lat': 38.6768, 'lng': -90.281362}","{'lat': 38.6768, 'lng': -90.281362}"
49970002300,5918 Wabada Av,22,50,347,Vacant Lot,,,25.0,113.04,2753.6738955,5918,Wabada,"{'lat': 38.67676100000001, 'lng': -90.281289}","{'lat': 38.67676100000001, 'lng': -90.281289}"
49970002400,5916 Wabada Av,22,50,347,Vacant Lot,,,25.0,113.0,2793.0,5916,Wabada,"{'lat': 38.676722, 'lng': -90.281216}","{'lat': 38.676722, 'lng': -90.281216}"
49970002500,5912 Wabada Av,22,50,347,Vacant Lot,,,25.0,113.0,2710.0291575,5912,Wabada,"{'lat': 38.676683, 'lng': -90.281144}","{'lat': 38.676683, 'lng': -90.281144}"
49970002600,5910 Wabada Av,22,50,347,Vacant Lot,,,25.0,115.0,2741.50515,5910,Wabada,"{'lat': 38.676645, 'lng': -90.28107299999999}","{'lat': 38.676645, 'lng': -90.28107299999999}"
49970003200,5911 Lotus Av,22,50,347,Vacant Lot,,,50.0,113.04,5199.834378000001,5911,Lotus,"{'lat': 38.676305, 'lng': -90.28121}","{'lat': 38.676305, 'lng': -90.28121}"
