Parcel ID,Address,Ward,Neigh,AssN,Usage,Description,Value *,BldgSF,Front,Side1,LotSF,Add#,Street Name
37800002700,4734 Leduc St,4,55,308,Residential,2 Story Brick Residence,,1706.0,30.0,238.58,7085.0,4734,Leduc
37800003600,1739 Marcus Av,4,55,308,Residential,2 Story Brick Residence,,1472.0,26.0,130.0,3362.0,1739,Marcus
37800004200,1719-21 Marcus Av,4,55,308,Residential,2 Story Brick Two Family Flat,,,25.0,125.0,3125.0,1719,Marcus
37800004400,1709 Marcus Av,4,55,308,Residential,2.5 Story Brick Residence,,,28.9,160.0,4600.0,1709,Marcus
37800005000,4719 Cote Brilliante Av,4,55,308,Residential,2 Story Brick Two Family Flat,,2314.0,30.0,115.0,3450.0,4719,Cote Brilliante
37800005600,4743 Cote Brilliante Av,4,55,308,Residential,2 Story Brick Two Family Flat,,2440.0,35.0,205.0,7175.0,4743,Cote Brilliante
37810004600,4747 Leduc St,4,55,308,Residential,1 Story Brick Residence,,1006.0,33.0,236.29,9630.0,4747,Leduc
37810004700,4749 Leduc St,4,55,308,Residential,1 Story Brick Residence,,1604.0,25.0,235.62,5890.0,4749,Leduc
37810004800,4751 Leduc St,4,55,308,Residential,1 Story Brick Residence,,1181.0,35.0,237.0,9141.0,4751,Leduc
37810005600,4801 Leduc St,4,55,308,Residential,2 Story Brick Residence,,1634.0,26.66,237.66,6634.0,4801,Leduc
37810006000,4811 Leduc St,4,55,308,Residential,1 Story Brick Residence,,802.0,26.25,237.66,5778.0,4811,Leduc
44700002200,4629 Cottage Av,4,56,308,Residential,2 Story Brick Two Family Flat,,,30.0,134.33,4127.0,4629,Cottage
44700003100,4659 Cottage Av,4,56,308,Residential,2 Story Frame Residence,,1722.0,30.0,134.75,4646.0,4659,Cottage
44710000300,4654 Cottage Av,4,56,308,Residential,1 Story Brick Residence,,1058.0,27.1,130.03,3412.0,4654,Cottage
44710000400,4652 Cottage Av,4,56,308,Residential,1 Story Brick Residence,,1058.0,27.12,130.0,3300.0,4652,Cottage
44710000500,4650 Cottage Av,4,56,308,Residential,2 Story Brick Attached Row House,,1500.0,17.33,130.7,2225.0,4650,Cottage
44710000600,4648 Cottage Av,4,56,308,Residential,2 Story Brick Attached Residence,,1500.0,14.75,130.7,1785.0,4648,Cottage
44710000700,4646 Cottage Av,4,56,308,Residential,Half of a 2 Story Brick Four Family Flat,,1500.0,17.92,130.7,2234.0,4646,Cottage
44710000800,4644 Cottage Av,4,56,308,Residential,2 Story Brick Attached Rowhouse,,,17.58,130.71,2056.116711,4644,Cottage
44710001000,4640 Cottage Av,4,56,308,Residential,2 Story Brick Attached Rowhouse,,,17.66,130.66,2270.632665,4640,Cottage
44710001500,2523-5 Cora Av,4,56,308,Residential,2 Story Brick Four Family Flat,,2904.0,55.66,85.0,5318.0,2523,Cora
44710001800,4625-7 St Ferdinand Av,4,56,308,Residential,2 Story Brick Four Family Flat,,4500.0,55.0,130.75,7457.0,4625,St Ferdinand
44710001900,4631-3 St Ferdinand Av,4,56,308,Residential,2 Story Brick Four Family Flat,,4000.0,50.0,130.75,6721.0,4631,St Ferdinand
44710002500,4653 St Ferdinand Av,4,56,308,Residential,2 Story Brick Attached Row House,,1500.0,18.08,130.7,1572.0,4653,St Ferdinand
44710002600,4655 St Ferdinand Av,4,56,308,Residential,2 Story Brick Four Family Flat,,1500.0,14.92,130.69,2195.0,4655,St Ferdinand
44710002700,4657 St Ferdinand Av,4,56,308,Residential,2 Story Brick Four Family Flat,,1500.0,18.5,130.73,2110.0,4657,St Ferdinand
44720000200,4668 St Ferdinand Av,4,56,308,Residential,2 Story Brick Two Family Flat,,1908.0,31.5,130.5,3330.0,4668,St Ferdinand
44720000400,4662 St Ferdinand Av,4,56,308,Residential,2 Story Brick Four Family Flat,,1908.0,31.5,130.5,3862.0,4662,St Ferdinand
44720001300,4634 St Ferdinand Av,4,56,308,Residential,1 Story Brick Residence,,940.0,29.0,130.5,4251.0,4634,St Ferdinand
44720001400,4630 St Ferdinand Av,4,56,308,Residential,1 Story Brick Residence,,940.0,29.0,130.5,4134.0,4630,St Ferdinand
44720003000,2400 Marcus Av,4,56,308,Mixed,2 Story Brick Mixed Use Building aka 4663-69 N. Market,,,50.5,135.0,6878.4506155,2400,Marcus
44720003100,2406 Marcus Av,4,56,308,Residential,2 Story Brick Residence,,2012.0,40.0,135.0,4460.0,2406,Marcus
44730000800,4645 Leduc St,4,56,308,Residential,2 Story Brick Residence,,2802.0,35.0,138.0,5159.0,4645,Leduc
44740000100,4648 Leduc St,4,56,308,Residential,2 Story Brick Residence,,1650.0,40.0,138.0,7620.0,4648,Leduc
44740000200,4644 Leduc St,4,56,308,Residential,2 Story Brick Residence,,1754.0,75.0,138.0,9085.0,4644,Leduc
44770102200,4738 Highland Av,4,55,308,Residential,2 Story Brick Residence,,3262.0,82.5,108.0,9077.0,4738,Highland
44770105300,4825 Hammett Pl,4,55,308,Residential,2 Story Brick Two Family Flat,,1974.0,25.0,193.0,4361.0,4825,Hammett
44770200100,4834 Northland Av,4,55,308,Residential,2 Story Brick Two Family Flat,,,25.0,123.08,3075.0,4834,Northland
44770200400,4826 Northland Av,4,55,308,Residential,2 Story Brick Residence,,,25.0,123.08,2987.0,4826,Northland
44770200500,4824 Northland Av,4,55,308,Residential,2.5 Story Brick Residence,,,25.0,123.0,3075.0,4824,Northland
44770200800,4816 Northland Av,4,55,308,Residential,1 Story Brick Residence,,,28.0,123.08,3706.0,4816,Northland
44770201200,4804 Northland Av,4,55,308,Residential,1 Story Brick Residence,,,25.0,123.1,1796.0,4804,Northland
44770201400,4776 Northland Av,4,55,308,Residential,2 Story Brick Two Family Flat,,,25.0,123.08,3062.971118,4776,Northland
