ParcelID,Address,Ward,Neigh,AssN,Usage,Description,BldgSF,Front,Side1,LotSF,Add#,Street,laglng,latlng
44980001700,5239 Terry Av,1,52,343,Residential,1 Story Brick Residence,970,25.16,142.5,3576.0,5239,Terry,"{'lat': 38.6730384, 'lng': -90.2609671}","{'lat': 38.6730384, 'lng': -90.2609671}"
44980001800,5243 Terry Av,1,52,343,Residential,1 Story Brick Residence,867,31.1,142.5,4432.0,5243,Terry,"{'lat': 38.6731202, 'lng': -90.2610363}","{'lat': 38.6731202, 'lng': -90.2610363}"
44990500600,5206 St Louis Av,1,52,343,Residential,1 Story Brick Residence,852,27.5,137.5,3781.0,5206,St Louis,"{'lat': 38.6731568, 'lng': -90.25968499999999}","{'lat': 38.6731568, 'lng': -90.25968499999999}"
44990501400,5140 St Louis Av,1,52,343,Residential,1 Story Brick Residence,1012,33.33,137.0,5295.0,5140,St Louis,"{'lat': 38.6728397, 'lng': -90.258934}","{'lat': 38.6728397, 'lng': -90.258934}"
45000100400,5044 Terry Av,1,52,343,Residential,1 Story Brick Residence,990,25.0,150.0,3731.0,5044,Terry,"{'lat': 38.6711526, 'lng': -90.2576655}","{'lat': 38.6711526, 'lng': -90.2576655}"
50280000800,5238 Terry Av,1,52,343,Residential,1 Story Brick Residence,996,28.0,142.5,3975.0,5238,Terry,"{'lat': 38.672745, 'lng': -90.26113959999999}","{'lat': 38.672745, 'lng': -90.26113959999999}"
50280003200,2812 Union Blvd,1,52,343,Residential,1 Story Brick Residence,858,25.0,135.0,3172.0,2812,Union,"{'lat': 38.6728714, 'lng': -90.2624168}","{'lat': 38.6728714, 'lng': -90.2624168}"
45190102400,3321 William Pl,1,50,344,Residential,1.5 Story Frame Residence,882,25.0,109.0,2533.0,3321,William,"{'lat': 38.6776554, 'lng': -90.2608856}","{'lat': 38.6776554, 'lng': -90.2608856}"
52470002000,5321 Labadie Av,1,50,344,Residential,2.5 Story Frame Residence,1320,40.0,133.0,5320.0,5321,Labadie,"{'lat': 38.6756159, 'lng': -90.261859}","{'lat': 38.6756159, 'lng': -90.261859}"
42880002400,8917 Newby St,2,74,333,Residential,1 Story Frame Residence,1005,25.0,127.5,3187.0,8917,Newby,"{'lat': 38.719593, 'lng': -90.235524}","{'lat': 38.719593, 'lng': -90.235524}"
54340000600,8984 Edna St,2,74,333,Residential,1 Story Frame Residence,900,30.0,127.5,3922.0,8984,Edna,"{'lat': 38.7214642, 'lng': -90.235918}","{'lat': 38.7214642, 'lng': -90.235918}"
52760001500,928 Canaan Av,2,74,334,Residential,1 Story Frame Residence,880,70.0,137.5,8803.0,928,Canaan,"{'lat': 38.7204096, 'lng': -90.2331794}","{'lat': 38.7204096, 'lng': -90.2331794}"
52770000950,942 Elias Av,2,74,334,Residential,1.5 Story Brick Residence,535,30.0,127.6,3931.0,942,Elias,"{'lat': 38.721259, 'lng': -90.233424}","{'lat': 38.721259, 'lng': -90.233424}"
53990000600,954 Harlan Av,2,74,334,Residential,1 Story Frame Residence,918,35.0,127.5,5594.0,954,Harlan,"{'lat': 38.7222805, 'lng': -90.2338286}","{'lat': 38.7222805, 'lng': -90.2338286}"
53990002400,868 Harlan Av,2,74,334,Residential,2 Story Frame Residence,1104,25.0,127.5,2657.758,868,Harlan,"{'lat': 38.7219259, 'lng': -90.2313149}","{'lat': 38.7219259, 'lng': -90.2313149}"
53990002600,864 Harlan Av,2,74,334,Residential,1 Story Brick Residence,1188,50.0,127.5,6244.0,864,Harlan,"{'lat': 38.721911, 'lng': -90.23110899999999}","{'lat': 38.721911, 'lng': -90.23110899999999}"
53990003100,845 Elias Av,2,74,334,Residential,1.5 Story Frame Residence,1440,40.0,127.5,5383.0,845,Elias,"{'lat': 38.7214339, 'lng': -90.23056729999999}","{'lat': 38.7214339, 'lng': -90.23056729999999}"
53990005700,979 Elias Av,2,74,334,Residential,1.5 Story Frame Residence,1049,42.0,127.5,5519.0,979,Elias,"{'lat': 38.72184439999999, 'lng': -90.2346934}","{'lat': 38.72184439999999, 'lng': -90.2346934}"
54000003400,875 Harlan Av,2,74,334,Residential,1 Story Frame Residence,768,37.6,121.9,5030.0,875,Harlan,"{'lat': 38.7223849, 'lng': -90.2314328}","{'lat': 38.7223849, 'lng': -90.2314328}"
54010001200,8653 N Broadway,2,74,334,Residential,1 Story Frame Residence,714,25.0,120.0,3000.0,8653,Broadway,"{'lat': 38.7205707, 'lng': -90.22926799999999}","{'lat': 38.7205707, 'lng': -90.22926799999999}"
42500000600,1034 Gimblin St,2,74,335,Residential,2 Story Frame Residence,1184,50.0,150.0,7500.0,1034,Gimblin,"{'lat': 38.7132425, 'lng': -90.2342321}","{'lat': 38.7132425, 'lng': -90.2342321}"
54310001400,1026 Garth Av,2,74,335,Residential,1 Story Brick Residence,940,26.7,158.1,3938.0,1026,Garth,"{'lat': 38.7122615, 'lng': -90.2336457}","{'lat': 38.7122615, 'lng': -90.2336457}"
54310001800,1016 Garth Av,2,74,335,Residential,2 Story Frame Residence,1377,25.0,145.5,2634.0,1016,Garth,"{'lat': 38.712209, 'lng': -90.23327599999999}","{'lat': 38.712209, 'lng': -90.23327599999999}"
42300001100,7861 Hall St,2,74,336,Residential,1 Story Frame Residence,1179,36.7,94.48,2911.0,7861,Hall,"{'lat': 38.7087413, 'lng': -90.22743709999999}","{'lat': 38.7087413, 'lng': -90.22743709999999}"
42930002200,8425 Lowell St,2,74,336,Residential,1 Story Concrete Block Residence,705,28.1,107.1,2219.0,8425,Lowell,"{'lat': 38.7165585, 'lng': -90.2283961}","{'lat': 38.7165585, 'lng': -90.2283961}"
42930004000,8446 Lowell La,2,74,336,Residential,1 Story Concrete Block Residence,512,28.83,107.83,2334.5792045000007,8446,Lowell,"{'lat': 38.7172865, 'lng': -90.22771809999999}","{'lat': 38.7172865, 'lng': -90.22771809999999}"
42930004100,8450 Lowell La,2,74,336,Residential,1 Story Concrete Block Residence,512,28.83,107.75,2383.505467,8450,Lowell,"{'lat': 38.717422, 'lng': -90.227408}","{'lat': 38.717422, 'lng': -90.227408}"
