ParcelID,Address,Ward,Neigh,AssN,Usage,Description,Value *,BldgSF,Front,Side1,LotSF,Add#,Street,laglng,latlng
24120001500,4011 N 11th St,3,65,313,Residential,2 Story Brick Residence,,1370.0,30.0,115.0,3450.0,4011,11th,"{'lat': 38.665817, 'lng': -90.20038249999999}","{'lat': 38.665817, 'lng': -90.20038249999999}"
24120001700,4005 N 11th St,3,65,313,Residential,2 Story Brick Residence,,1460.0,25.0,115.0,2875.0,4005,11th,"{'lat': 38.6656361, 'lng': -90.2003676}","{'lat': 38.6656361, 'lng': -90.2003676}"
24140000800,1416 Penrose St,3,65,313,Residential,2 Story Brick Two Family Flat,,2526.0,25.0,130.0,3250.0,1416,Penrose,"{'lat': 38.6664525, 'lng': -90.2025216}","{'lat': 38.6664525, 'lng': -90.2025216}"
24140001000,1406-8 Penrose St,3,65,313,Residential,2 Story Brick Four Family Flat,,2922.0,41.5,130.0,5390.0,1406,Penrose,"{'lat': 38.66652699999999, 'lng': -90.20213299999999}","{'lat': 38.66652699999999, 'lng': -90.20213299999999}"
24140003310,1401-3 Angelica St,3,65,313,Residential,2 Story Brick Four Family Flat,,2924.0,40.0,127.9,5120.0,1401,Angelica,"{'lat': 38.6661011, 'lng': -90.2019205}","{'lat': 38.6661011, 'lng': -90.2019205}"
24140003450,1413-5 Angelica St,3,65,313,Residential,2 Story Brick Four Family Flat,,2924.0,43.2,127.5,5521.0,1413,Angelica,"{'lat': 38.6659879, 'lng': -90.2022592}","{'lat': 38.6659879, 'lng': -90.2022592}"
24140003500,1417 Angelica St,3,65,313,Residential,2 Story Brick Residence,,2140.0,25.0,127.54,3198.0,1417,Angelica,"{'lat': 38.665889, 'lng': -90.2024122}","{'lat': 38.665889, 'lng': -90.2024122}"
24140003600,1419 Angelica St,3,65,313,Residential,2 Story Brick Two Family Flat,,1826.0,25.0,126.1,3198.0,1419,Angelica,"{'lat': 38.6658877, 'lng': -90.2025043}","{'lat': 38.6658877, 'lng': -90.2025043}"
24170001300,4101-3 N 20th St,3,65,313,Mixed,2 Story Brick Mixed Use Building,,3240.0,33.06,129.58,3911.0,4101,20th,"{'lat': 38.6648646, 'lng': -90.2054524}","{'lat': 38.6648646, 'lng': -90.2054524}"
24180001100,2100 Penrose St,3,65,313,Residential,2 Story Brick Two Family Flat,,1844.0,25.25,127.5,3383.0,2100,Penrose,"{'lat': 38.664987, 'lng': -90.20676999999999}","{'lat': 38.664987, 'lng': -90.20676999999999}"
24310002200,4502 N 20th St,3,66,313,Residential,2 Story Brick Residence,,2070.0,76.0,133.08,12436.0,4502,20th,"{'lat': 38.6699402, 'lng': -90.2078166}","{'lat': 38.6699402, 'lng': -90.2078166}"
24320000100,4300 Strodtman Pl,3,66,313,Residential,2 Story Brick Two Family Flat,,2716.0,26.5,117.5,2774.0,4300,Strodtman,"{'lat': 38.6674015, 'lng': -90.20749959999999}","{'lat': 38.6674015, 'lng': -90.20749959999999}"
24320000600,4318 Strodtman Pl,3,66,313,Residential,2 Story Brick Residence,,1312.0,25.0,117.5,2883.0,4318,Strodtman,"{'lat': 38.6678232, 'lng': -90.20781099999999}","{'lat': 38.6678232, 'lng': -90.20781099999999}"
